Read-Percentage,"Read Speed","Write Speed","Read IOPs","Write IOPs"
0,0,93.1685835402807,0,6.105896
0.1,20.8548369874715,31.6621045717415,1.3667426,2.0750076
0.25,57.7437618259224,169.894474419166,3.78429525,11.1342045
0.5,128.585301088483,113.205944033835,8.4269665,7.4190645
1,,,,
