Size No-Optimization(s) Cache-Optimization(s) Multithread-Optimization(s) SIMD-Optimization(s) All-Optimization(s)
500 0.132 0.093 0.027 0.131 0.049
1000 1.206 0.835 0.639 1.265 0.357
