#Threads Latency(µs) Throughput(accesses/sec)
1 0.0421352 2.37331e+07
2 0.0348456 2.8698e+07
3 0.027534 3.63187e+07
4 0.02636 3.79363e+07
5 0.0248749 4.02011e+07
6 0.0201606 4.96018e+07
7 0.0213491 4.68403e+07
8 0.021129 4.73284e+07
9 0.0220183 4.54169e+07
10 0.0222653 4.49129e+07
11 0.0240347 4.16065e+07
12 0.0220387 4.53746e+07
